Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%)
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 24.34.2.571,7846,6153,3823,59,17822,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,24.34.2.571,44.0
Intel(R) Dual Band Wireless-AC 7265 - 22.110.0.2,38283,16041,7205,80,61529,Intel(R) Dual Band Wireless-AC 7265,22.110.0.2,62.2
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.155.1,163318,29863,3364,282,196545,Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter,6001.15.155.1,83.1
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.908,141727,18037,40,201,159804,MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter,3.3.0.908,88.7
Intel(R) Wi-Fi 6E AX210 160MHz - 23.70.4.1,23004,561,2166,33,25731,Intel(R) Wi-Fi 6E AX210 160MHz,23.70.4.1,89.4
Intel(R) Wi-Fi 6 AX201 160MHz - 22.120.0.3,580279,46316,18728,1140,645323,Intel(R) Wi-Fi 6 AX201 160MHz,22.120.0.3,89.9
Intel(R) Dual Band Wireless-AC 8265 - 20.70.17.1,17208,830,640,53,18678,Intel(R) Dual Band Wireless-AC 8265,20.70.17.1,92.1
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.3.3.854,35003,2255,64,70,37322,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,3.3.3.854,93.8
Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter - 1030.44.822.2023,1155526,61745,11560,1285,1228831,Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter,1030.44.822.2023,94.0
Intel(R) Wi-Fi 6 AX201 160MHz - 22.220.1.1,39337,1662,755,59,41754,Intel(R) Wi-Fi 6 AX201 160MHz,22.220.1.1,94.2
Qualcomm Atheros AR9580 Wireless Network Adapter - 3.0.2.201,86592,4185,832,148,91609,Qualcomm Atheros AR9580 Wireless Network Adapter,3.0.2.201,94.5
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 23.32.2.560,37687,2019,78,69,39784,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,23.32.2.560,94.7
Intel(R) Wireless-AC 9560 160MHz - 22.230.0.8,128050,6036,318,168,134404,Intel(R) Wireless-AC 9560 160MHz,22.230.0.8,95.3
Qualcomm Atheros AR9580 Wireless Network Adapter - 10.1.10.5,49016,1840,439,109,51295,Qualcomm Atheros AR9580 Wireless Network Adapter,10.1.10.5,95.6
Intel(R) Dual Band Wireless-AC 8265 - 20.50.3.3,318046,7532,5840,549,331418,Intel(R) Dual Band Wireless-AC 8265,20.50.3.3,96.0
Intel(R) Wi-Fi 6 AX200 160MHz - 22.130.0.5,45027,884,836,51,46747,Intel(R) Wi-Fi 6 AX200 160MHz,22.130.0.5,96.3
Intel(R) Wi-Fi 6E AX211 160MHz - 22.150.1.1,50321,240,1613,76,52174,Intel(R) Wi-Fi 6E AX211 160MHz,22.150.1.1,96.4
Intel(R) Dual Band Wireless-AC 7265 - 19.51.12.3,135409,4504,206,149,140119,Intel(R) Dual Band Wireless-AC 7265,19.51.12.3,96.6
Intel(R) Wireless-AC 9260 160MHz - 23.40.0.4,109548,3223,354,108,113125,Intel(R) Wireless-AC 9260 160MHz,23.40.0.4,96.8
Intel(R) Dual Band Wireless-AC 7265 - 19.51.27.1,125556,1335,2733,141,129624,Intel(R) Dual Band Wireless-AC 7265,19.51.27.1,96.9
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.2.3,128870,1551,2613,315,133034,Intel(R) Wi-Fi 6 AX201 160MHz,23.70.2.3,96.9
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.3,61071,1191,687,150,62949,Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC,2024.10.139.3,97.0
Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.0.3,1043654,28489,3394,1903,1075537,Intel(R) Wi-Fi 6 AX201 160MHz,22.150.0.3,97.0
Intel(R) Wi-Fi 6E AX211 160MHz - 22.220.1.1,3047489,68235,19627,2585,3135351,Intel(R) Wi-Fi 6E AX211 160MHz,22.220.1.1,97.2
Intel(R) Dual Band Wireless-AC 8260 - 20.50.0.4,97223,1406,1317,133,99946,Intel(R) Dual Band Wireless-AC 8260,20.50.0.4,97.3
Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter - 6001.10.356.0,161567,1624,2847,216,166038,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,6001.10.356.0,97.3
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.0.6,18746,222,269,36,19237,Intel(R) Wi-Fi 6 AX201 160MHz,23.70.0.6,97.4
Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.3.2,163959,3595,539,260,168093,Intel(R) Wi-Fi 6 AX201 160MHz,22.160.3.2,97.5
