Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%)
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 24.34.2.571,7846,6153,3823,59,17822,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,24.34.2.571,44.0
Intel(R) Dual Band Wireless-AC 7265 - 22.110.0.2,38281,16041,7205,79,61527,Intel(R) Dual Band Wireless-AC 7265,22.110.0.2,62.2
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.155.1,142629,25541,3364,262,171534,Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter,6001.15.155.1,83.1
Intel(R) Wi-Fi 6 AX201 160MHz - 22.120.0.3,455446,42969,18728,967,517143,Intel(R) Wi-Fi 6 AX201 160MHz,22.120.0.3,88.1
Intel(R) Wi-Fi 6E AX210 160MHz - 23.70.4.1,23004,561,2166,33,25731,Intel(R) Wi-Fi 6E AX210 160MHz,23.70.4.1,89.4
Intel(R) Dual Band Wireless-AC 8265 - 20.70.17.1,14125,820,640,49,15585,Intel(R) Dual Band Wireless-AC 8265,20.70.17.1,90.6
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 23.32.2.560,27380,2009,78,57,29467,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,23.32.2.560,92.9
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.3.3.854,33301,2159,64,66,35524,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,3.3.3.854,93.7
Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter - 1030.44.822.2023,1070712,58748,11560,1226,1141020,Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter,1030.44.822.2023,93.8
Intel(R) Wi-Fi 6 AX201 160MHz - 22.220.1.1,36734,1362,755,56,38851,Intel(R) Wi-Fi 6 AX201 160MHz,22.220.1.1,94.6
Qualcomm Atheros AR9580 Wireless Network Adapter - 3.0.2.201,86393,4103,832,147,91328,Qualcomm Atheros AR9580 Wireless Network Adapter,3.0.2.201,94.6
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.908,132380,7565,40,187,139985,MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter,3.3.0.908,94.6
Intel(R) Wireless-AC 9560 160MHz - 22.230.0.8,128050,6036,318,168,134404,Intel(R) Wireless-AC 9560 160MHz,22.230.0.8,95.3
Qualcomm Atheros AR9580 Wireless Network Adapter - 10.1.10.5,48338,1813,439,108,50590,Qualcomm Atheros AR9580 Wireless Network Adapter,10.1.10.5,95.5
Intel(R) Dual Band Wireless-AC 8265 - 20.50.3.3,304254,7320,5840,533,317414,Intel(R) Dual Band Wireless-AC 8265,20.50.3.3,95.9
Intel(R) Wi-Fi 6E AX211 160MHz - 22.150.1.1,46565,165,1613,61,48343,Intel(R) Wi-Fi 6E AX211 160MHz,22.150.1.1,96.3
Intel(R) Wi-Fi 6 AX200 160MHz - 22.130.0.5,45027,884,836,51,46747,Intel(R) Wi-Fi 6 AX200 160MHz,22.130.0.5,96.3
Intel(R) Wireless-AC 9260 160MHz - 23.40.0.4,81479,2753,354,87,84586,Intel(R) Wireless-AC 9260 160MHz,23.40.0.4,96.3
Intel(R) Wi-Fi 6E AX211 160MHz - 22.220.1.1,1958330,50275,19627,1732,2028232,Intel(R) Wi-Fi 6E AX211 160MHz,22.220.1.1,96.6
Intel(R) Dual Band Wireless-AC 7265 - 19.51.12.3,121785,3936,206,140,125927,Intel(R) Dual Band Wireless-AC 7265,19.51.12.3,96.7
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.2.3,124669,1542,2613,303,128824,Intel(R) Wi-Fi 6 AX201 160MHz,23.70.2.3,96.8
Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.0.3,830041,24057,3394,1398,857492,Intel(R) Wi-Fi 6 AX201 160MHz,22.150.0.3,96.8
Intel(R) Dual Band Wireless-AC 7265 - 19.51.27.1,125556,1335,2733,141,129624,Intel(R) Dual Band Wireless-AC 7265,19.51.27.1,96.9
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.3,57941,1187,687,146,59815,Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC,2024.10.139.3,96.9
Intel(R) Dual Band Wireless-AC 8260 - 20.50.0.4,97223,1406,1317,133,99946,Intel(R) Dual Band Wireless-AC 8260,20.50.0.4,97.3
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.824,51915,1428,31,110,53374,MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter,3.3.0.824,97.3
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.0.6,18746,222,269,36,19237,Intel(R) Wi-Fi 6 AX201 160MHz,23.70.0.6,97.4
Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter - 6001.10.356.0,159822,1471,2847,213,164140,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,6001.10.356.0,97.4
